"ranking","school_name","instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"1","Princeton University",47140,47140,15610,8273,1,0,1,0,"1",2.34e+10,68400,0.06,5,0.89
"2","Harvard University",50420,50420,17160,20604,1,0,1,1,"0",3.71e+10,66500,0.05,6,0.84
"3","Columbia University",59430,59430,14016,25968,1,0,1,1,"0",1e+10,64900,0.06,6,0.88
"4","Massachusetts Institute of Technology",51832,51832,15510,11466,1,0,0,1,"0",1.48e+10,79800,0.07,3,0.85
"5","University of Chicago",57006,57006,16350,13736,1,0,0,1,"0",6.6e+09,57700,0.09,5,0.88
"6","Yale University",53430,53430,16000,12974,1,0,1,1,"0",2.72e+10,63200,0.07,6,0.87
"7","Stanford University",51354,51354,15763,17178,1,0,0,0,"1",2.48e+10,70700,0.05,4,0.75
"8","Duke University",55960,55960,15944,16294,1,0,1,0,"1",7.9e+09,66200,0.1,6,0.88
"9","University of Pennsylvania",55584,55584,15616,21907,1,0,1,1,"0",1.22e+10,66100,0.09,6,0.86
"10","Johns Hopkins University",53740,53740,15836,25151,1,0,1,1,"0",3.7e+09,63400,0.12,7,0.88
"11","Northwestern University",54567,54567,16626,21474,1,0,0,0,"1",7.9e+09,58800,0.09,6,0.84
"12","California Institute of Technology",52362,52362,15525,2238,1,0,0,0,"1",2.6e+09,81000,0.08,3,0.79
"13","Dartmouth College",55035,55035,15756,6509,1,0,0,0,"0",5e+09,63800,0.1,7,0.88
"14","Brown University",55656,55656,14670,10095,1,0,1,1,"0",3.2e+09,60300,0.09,7,0.86
"15","Vanderbilt University",49816,49816,16234,12592,1,0,1,1,"0",4.1e+09,61400,0.11,7,0.86
"16","Cornell University",55188,55188,14816,23016,1,0,1,0,"0",6.5e+09,65000,0.13,9,0.85
"17","Rice University",47350,47350,14000,7022,1,0,1,1,"0",5.8e+09,64900,0.16,6,0.83
"18","University of Notre Dame",53391,53391,15410,12467,1,1,1,1,"0",9.7e+09,62700,0.19,10,0.9
"19","University of California--Los Angeles",13280,41294,15991,45428,0,0,0,1,"0",4.2e+09,56600,0.16,18,0.75
"20","Washington University in St. Louis",53399,53399,16440,15303,1,0,1,0,"1",7.2e+09,60300,0.16,8,0.88
"21","Emory University",51306,51306,14456,14273,1,1,1,1,"0",7.6e+09,57900,0.22,9,0.82
"22","Georgetown University",54104,54104,16418,19005,1,1,1,1,"0",1.7e+09,57900,0.16,11,0.9
"23","University of California--Berkeley",14240,43232,17764,41910,0,0,1,1,"0",4.4e+09,64300,0.17,18,0.76
"24","University of Southern California",56225,56225,15400,36487,1,0,1,1,"0",5.1e+09,58100,0.16,8,0.77
"25","Carnegie Mellon University",55465,55465,14418,14528,1,0,1,1,"0",1.7e+09,71600,0.22,13,0.76
"26","University of Virginia",17350,48891,11590,24360,0,0,1,0,"1",6.3e+09,59600,0.27,14,0.88
"27","Tufts University",56382,56382,14560,11449,1,0,1,0,"1",1.7e+09,59300,0.15,9,0.87
"28","University of Michigan--Ann Arbor",15262,49350,11534,46002,0,0,0,1,"0",1.08e+10,61900,0.27,15,0.77
"29","Wake Forest University",53322,53322,16032,8116,1,0,1,0,"1",1.2e+09,54100,0.28,11,0.84
"30","New York University",51828,51828,18156,51123,1,0,1,1,"0",4.1e+09,57400,0.28,9,0.75
"31","University of California--Santa Barbara",14472,42486,15673,25057,0,0,0,0,"1",332400000,53800,0.33,17,0.7
"32","University of North Carolina--Chapel Hill",8986,35169,11190,29911,0,0,1,0,"1",2.9e+09,49600,0.24,13,0.84
"33","University of California--Irvine",15516,43530,14829,35242,0,0,0,0,"1",853300000,54500,0.37,18,0.7
"34","University of Rochester",53926,53926,15938,11648,1,0,1,0,"1",2.1e+09,54600,0.34,10,0.77
"35","Brandeis University",55395,55395,15440,5722,1,0,1,0,"1",976900000,52900,0.34,10,0.83
"36","Georgia Institute of Technology",12424,33020,14596,29376,0,0,1,1,"0",2e+09,68100,0.23,22,0.39
"37","University of Florida",6381,28658,10120,52669,0,0,1,0,"1",1.6e+09,52800,0.42,19,0.68
