"instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"Tuition & Fees $47,140 (2018-19)","Tuition & Fees $47,140 (2018-19)","Room and Board $15,610 (2018-19)","Total Enrollment 8,273","Private, Coed","None","Semester","Suburban","Suburban","$23.4 billion","            $68,400*","            6%","            5:1","            89%"
"Tuition & Fees $50,420 (2018-19)","Tuition & Fees $50,420 (2018-19)","Room and Board $17,160 (2018-19)","Total Enrollment 20,604","Private, Coed","None","Semester","Urban","Urban","$37.1 billion","            $66,500*","            5%","            6:1","            84%"
"Tuition & Fees $59,430 (2018-19)","Tuition & Fees $59,430 (2018-19)","Room and Board $14,016 (2018-19)","Total Enrollment 25,968","Private, Coed","None","Semester","Urban","Urban","$10.0 billion","            $64,900*","            6%","            6:1","            88%"
"Tuition & Fees $51,832 (2018-19)","Tuition & Fees $51,832 (2018-19)","Room and Board $15,510 (2018-19)","Total Enrollment 11,466","Private, Coed","None","4-1-4","Urban","Urban","$14.8 billion +","            $79,800*","            7%","            3:1","            85%"
"Tuition & Fees $57,006 (2018-19)","Tuition & Fees $57,006 (2018-19)","Room and Board $16,350 (2018-19)","Total Enrollment 13,736","Private, Coed","None","Quarter","Urban","Urban","$6.6 billion +","            $57,700*","            9%","            5:1","            88%"
"Tuition & Fees $53,430 (2018-19)","Tuition & Fees $53,430 (2018-19)","Room and Board $16,000 (2018-19)","Total Enrollment 12,974","Private, Coed","None","Semester","City","City","$27.2 billion +","            $63,200*","            7%","            6:1","            87%"
"Tuition & Fees $51,354 (2018-19)","Tuition & Fees $51,354 (2018-19)","Room and Board $15,763 (2018-19)","Total Enrollment 17,178","Private, Coed","None","Quarter","Suburban","Suburban","$24.8 billion","            $70,700*","            5%","            4:1","            75%"
"Tuition & Fees $55,960 (2018-19)","Tuition & Fees $55,960 (2018-19)","Room and Board $15,944 (2018-19)","Total Enrollment 16,294","Private, Coed","None","Semester","Suburban","Suburban","$7.9 billion +","            $66,200*","            10%","            6:1","            88%"
"Tuition & Fees $55,584 (2018-19)","Tuition & Fees $55,584 (2018-19)","Room and Board $15,616 (2018-19)","Total Enrollment 21,907","Private, Coed","None","Semester","Urban","Urban","$12.2 billion +","            $66,100*","            9%","            6:1","            86%"
"Tuition & Fees $53,740 (2018-19)","Tuition & Fees $53,740 (2018-19)","Room and Board $15,836 (2018-19)","Total Enrollment 25,151","Private, Coed","None","Semester","Urban","Urban","$3.7 billion +","            $63,400*","            12%","            7:1","            88%"
"Tuition & Fees $54,567 (2018-19)","Tuition & Fees $54,567 (2018-19)","Room and Board $16,626 (2018-19)","Total Enrollment 21,474","Private, Coed","None","Quarter","Suburban","Suburban","$7.9 billion +","            $58,800*","            9%","            6:1","            84%"
"Tuition & Fees $52,362 (2018-19)","Tuition & Fees $52,362 (2018-19)","Room and Board $15,525 (2018-19)","Total Enrollment 2,238","Private, Coed","None","Quarter","Suburban","Suburban","$2.6 billion +","            $81,000*","            8%","            3:1","            79%"
"Tuition & Fees $55,035 (2018-19)","Tuition & Fees $55,035 (2018-19)","Room and Board $15,756 (2018-19)","Total Enrollment 6,509","Private, Coed","None","Quarter","Rural","Rural","$5.0 billion","            $63,800*","            10%","            7:1","            88%"
"Tuition & Fees $55,656 (2018-19)","Tuition & Fees $55,656 (2018-19)","Room and Board $14,670 (2018-19)","Total Enrollment 10,095","Private, Coed","None","Semester","City","City","$3.2 billion +","            $60,300*","            9%","            7:1","            86%"
"Tuition & Fees $49,816 (2018-19)","Tuition & Fees $49,816 (2018-19)","Room and Board $16,234 (2018-19)","Total Enrollment 12,592","Private, Coed","None","Semester","Urban","Urban","$4.1 billion +","            $61,400*","            11%","            7:1","            86%"
"Tuition & Fees $55,188 (2018-19)","Tuition & Fees $55,188 (2018-19)","Room and Board $14,816 (2018-19)","Total Enrollment 23,016","Private, Coed","None","Semester","Rural","Rural","$6.5 billion +","            $65,000*","            13%","            9:1","            85%"
"Tuition & Fees $47,350 (2018-19)","Tuition & Fees $47,350 (2018-19)","Room and Board $14,000 (2018-19)","Total Enrollment 7,022","Private, Coed","None","Semester","Urban","Urban","$5.8 billion +","            $64,900*","            16%","            6:1","            83%"
"Tuition & Fees $53,391 (2018-19)","Tuition & Fees $53,391 (2018-19)","Room and Board $15,410 (2018-19)","Total Enrollment 12,467","Private, Coed","Roman Catholic","Semester","City","City","$9.7 billion","            $62,700*","            19%","            10:1","            90%"
"In-state Tuition & Fees $13,280 (2018-19)","Out-of-state Tuition & Fees $41,294 (2018-19)","Room and Board $15,991 (2018-19)","Total Enrollment 45,428","Public, Coed","None","Quarter","Urban","Urban","$4.2 billion +","            $56,600*","            16%","            18:1","            75%"
"Tuition & Fees $53,399 (2018-19)","Tuition & Fees $53,399 (2018-19)","Room and Board $16,440 (2018-19)","Total Enrollment 15,303","Private, Coed","None","Semester","Suburban","Suburban","$7.2 billion +","            $60,300*","            16%","            8:1","            88%"
"Tuition & Fees $51,306 (2018-19)","Tuition & Fees $51,306 (2018-19)","Room and Board $14,456 (2018-19)","Total Enrollment 14,273","Private, Coed","United Methodist","Semester","City","City","$7.6 billion +","            $57,900*","            22%","            9:1","            82%"
"Tuition & Fees $54,104 (2018-19)","Tuition & Fees $54,104 (2018-19)","Room and Board $16,418 (2018-19)","Total Enrollment 19,005","Private, Coed","Roman Catholic","Semester","Urban","Urban","$1.7 billion","            $57,900*","            16%","            11:1","            90%"
